Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	194
Date	2004JUL12
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78270	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.50724	[p_s^-1]
ForeOptic_temperature	39.15	[ns]
Front_temperature	39.15	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.63	[ns]
Shelter_temperature	17.43	[ns]
PSUnit_temperature	21.51	[ns]
AirCond_temperature	26.79	[ns]
Outside_temperature	24.57	[ns]
Comments	none
Formatted_file	2004194f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
328.017	303.38803	0.0002	0.0000
328.117	331.24774	0.0002	0.0000
328.217	297.46744	0.0002	0.0000
328.317	308.88382	0.0002	0.0000
328.417	361.32379	0.0002	0.0000
328.517	313.15240	0.0002	0.0000
328.617	286.38635	0.0002	0.0000
328.717	236.73477	0.0003	0.0000
328.817	306.36917	0.0002	0.0000
328.917	360.74542	0.0002	0.0000
329.017	424.76981	0.0002	0.0000
329.117	380.34015	0.0002	0.0000
329.217	368.46442	0.0002	0.0000
329.317	416.66833	0.0002	0.0000
329.417	445.04675	0.0002	0.0000
329.517	375.61929	0.0002	0.0000
329.617	409.70789	0.0002	0.0000
329.717	431.57669	0.0002	0.0000
329.817	375.39948	0.0002	0.0000
329.917	403.63608	0.0002	0.0000
330.016	494.53021	0.0002	0.0000
330.116	455.83255	0.0002	0.0000
330.216	330.44528	0.0002	0.0000
330.316	342.56369	0.0002	0.0000
330.416	384.13782	0.0002	0.0000
330.516	340.46432	0.0002	0.0000
330.616	240.32391	0.0003	0.0000
330.716	308.60153	0.0002	0.0000
330.816	368.60355	0.0002	0.0000
330.916	383.29126	0.0002	0.0000
331.016	349.31073	0.0002	0.0000
331.116	382.36307	0.0002	0.0000
331.216	333.48233	0.0002	0.0000
331.316	358.45276	0.0002	0.0000
331.416	301.31775	0.0002	0.0000
331.516	310.98352	0.0002	0.0000
331.616	384.13837	0.0002	0.0000
331.716	370.21219	0.0002	0.0000
331.816	400.65958	0.0002	0.0000
331.916	387.99020	0.0002	0.0000
332.016	359.61966	0.0002	0.0000
332.116	397.89594	0.0002	0.0000
332.216	318.48022	0.0002	0.0000
332.316	275.08463	0.0002	0.0000
332.416	332.84988	0.0002	0.0000
332.516	410.37119	0.0002	0.0000
332.616	429.97552	0.0002	0.0000
332.716	344.98630	0.0002	0.0000
332.816	374.33911	0.0002	0.0000
332.916	290.31253	0.0002	0.0000
333.016	317.03659	0.0002	0.0000
333.116	411.28571	0.0002	0.0000
333.216	323.13849	0.0002	0.0000
333.316	408.33548	0.0002	0.0000
333.416	340.12323	0.0002	0.0000
333.516	290.15976	0.0002	0.0000
333.616	248.25214	0.0002	0.0000
333.716	291.01086	0.0002	0.0000
333.816	357.68024	0.0002	0.0000
333.916	365.96036	0.0002	0.0000
334.016	328.47653	0.0002	0.0000
334.116	397.88507	0.0002	0.0000
334.216	283.20898	0.0002	0.0000
334.316	401.37936	0.0002	0.0000
334.415	412.41965	0.0002	0.0000
334.515	402.11194	0.0002	0.0000
334.615	411.12762	0.0002	0.0000
334.715	402.81250	0.0002	0.0000
334.815	389.26138	0.0002	0.0000
334.915	211.35182	0.0003	0.0000
335.015	318.52731	0.0002	0.0000
335.115	436.45108	0.0002	0.0000
335.215	419.33017	0.0002	0.0000
335.315	405.95728	0.0002	0.0000
335.415	381.81134	0.0002	0.0000
335.515	450.24515	0.0002	0.0000
335.615	432.74258	0.0002	0.0000
335.715	441.85159	0.0002	0.0000
335.815	358.22501	0.0002	0.0000
335.915	230.79329	0.0003	0.0000
336.015	191.20953	0.0003	0.0000
336.115	157.72948	0.0003	0.0000
336.215	257.54968	0.0002	0.0000
336.315	379.03006	0.0002	0.0000
336.415	388.87540	0.0002	0.0000
336.515	441.51974	0.0002	0.0000
336.615	357.82681	0.0002	0.0000
336.715	308.39908	0.0002	0.0000
336.815	296.90259	0.0002	0.0000
336.915	236.75482	0.0003	0.0000
337.015	285.17654	0.0002	0.0000
337.115	285.29956	0.0002	0.0000
337.215	226.03250	0.0003	0.0000
337.315	297.69180	0.0002	0.0000
337.415	311.55170	0.0002	0.0000
337.515	414.57846	0.0002	0.0000
337.615	429.77551	0.0002	0.0000
337.715	439.21234	0.0002	0.0000
337.815	397.45175	0.0002	0.0000
337.915	312.05789	0.0002	0.0000
338.015	220.78108	0.0003	0.0000
338.115	297.20831	0.0002	0.0000
338.215	404.43735	0.0002	0.0000
338.315	369.72601	0.0002	0.0000
338.415	339.06018	0.0002	0.0000
338.514	401.62289	0.0002	0.0000
338.614	435.28702	0.0002	0.0000
338.714	420.54211	0.0002	0.0000
338.814	298.20895	0.0002	0.0000
338.914	423.87985	0.0002	0.0000
339.014	468.90234	0.0002	0.0000
339.114	342.78821	0.0002	0.0000
339.214	320.18289	0.0002	0.0000
339.314	254.09628	0.0002	0.0000
339.414	338.68927	0.0002	0.0000
339.514	398.25772	0.0002	0.0000
339.614	385.55664	0.0002	0.0000
339.714	426.43356	0.0002	0.0000
339.814	453.47565	0.0002	0.0000
339.914	403.69626	0.0002	0.0000
340.014	529.62000	0.0002	0.0000
340.114	451.33847	0.0002	0.0000
340.214	396.77753	0.0002	0.0000
340.314	415.24402	0.0002	0.0000
340.414	406.61377	0.0002	0.0000
340.514	360.91510	0.0002	0.0000
340.614	438.99060	0.0002	0.0000
340.714	313.59259	0.0002	0.0000
340.814	398.37442	0.0002	0.0000
340.914	349.35239	0.0002	0.0000
341.014	377.11429	0.0002	0.0000
341.114	433.08420	0.0002	0.0000
341.214	436.65140	0.0002	0.0000
341.314	314.00024	0.0002	0.0000
341.414	279.16193	0.0002	0.0000
341.514	275.71930	0.0002	0.0000
341.614	415.39963	0.0002	0.0000
341.714	370.78537	0.0002	0.0000
341.814	383.99808	0.0002	0.0000
341.914	459.75235	0.0002	0.0000
342.014	482.35193	0.0002	0.0000
342.113	427.06232	0.0002	0.0000
342.213	405.32645	0.0002	0.0000
342.313	338.03629	0.0002	0.0000
342.413	329.80106	0.0002	0.0000
342.513	447.44226	0.0002	0.0000
342.613	416.99393	0.0002	0.0000
342.713	335.15250	0.0002	0.0000
342.813	379.30728	0.0002	0.0000
342.913	487.06421	0.0002	0.0000
343.013	503.04474	0.0002	0.0000
343.113	460.47977	0.0002	0.0000
343.213	397.31952	0.0002	0.0000
343.313	298.00650	0.0002	0.0000
343.413	378.93127	0.0002	0.0000
343.513	505.65332	0.0002	0.0000
343.613	425.95248	0.0002	0.0000
343.713	347.41232	0.0002	0.0000
343.813	376.69525	0.0002	0.0000
343.913	393.54520	0.0002	0.0000
344.013	236.77107	0.0003	0.0000
344.113	161.65770	0.0003	0.0000
344.213	250.20032	0.0003	0.0000
344.313	265.91461	0.0002	0.0000
344.413	242.25511	0.0003	0.0000
344.513	369.21066	0.0002	0.0000
344.613	279.98309	0.0002	0.0000
344.713	348.70230	0.0002	0.0000
344.813	407.21570	0.0002	0.0000
344.913	366.24362	0.0002	0.0000
345.013	453.03577	0.0002	0.0000
345.113	486.51773	0.0002	0.0000
345.213	361.73608	0.0002	0.0000
345.313	296.21075	0.0002	0.0000
345.413	467.60809	0.0002	0.0000
345.512	458.93109	0.0002	0.0000
345.612	408.41342	0.0002	0.0000
345.712	417.12430	0.0002	0.0000
345.812	320.04095	0.0002	0.0000
345.912	365.39844	0.0002	0.0000
346.012	297.52985	0.0002	0.0000
346.112	295.24042	0.0002	0.0000
346.212	328.47540	0.0002	0.0000
346.312	420.35480	0.0002	0.0000
346.412	456.84933	0.0002	0.0000
346.512	419.86145	0.0002	0.0000
346.612	279.40027	0.0002	0.0000
